age,max_gap_days,total_time_min,quiz_completion_pct,avg_quiz_score
43,3.0,879.0,100.0,76.6
28,2.0,979.0,100.0,73.3
37,16.0,108.0,20.0,62.0
35,0.0,0.0,0.0,0.0
28,12.0,417.0,70.0,67.42857142857143
31,0.0,14.0,10.0,44.0
41,9.0,257.0,60.0,76.66666666666667
37,11.0,204.0,20.0,85.0
33,0.0,0.0,0.0,0.0
41,3.0,831.0,100.0,78.4
22,2.0,971.0,100.0,68.9
25,3.0,827.0,100.0,69.9
19,3.0,961.0,100.0,71.9
19,2.0,950.0,100.0,93.3
42,2.0,996.0,100.0,76.3
21,11.0,173.0,30.0,59.0
20,14.0,316.0,80.0,56.375
41,3.0,677.0,100.0,68.6
38,12.0,196.0,40.0,76.0
40,3.0,876.0,100.0,79.5
38,8.0,222.0,30.0,60.66666666666666
37,2.0,1105.0,100.0,70.1
21,12.0,460.0,80.0,61.625
41,2.0,27.0,20.0,64.5
33,3.0,953.0,100.0,66.3
28,13.0,332.0,70.0,64.71428571428571
19,3.0,1026.0,100.0,82.3
38,3.0,891.0,100.0,84.5
33,2.0,19.0,20.0,68.0
35,3.0,896.0,100.0,89.0
37,14.0,241.0,40.0,80.0
40,12.0,354.0,60.0,65.83333333333333
19,3.0,728.0,100.0,87.0
26,16.0,376.0,60.0,55.0
29,3.0,860.0,100.0,66.0
34,9.0,300.0,30.0,72.66666666666667
27,16.0,81.0,30.0,78.0
37,2.0,989.0,100.0,89.0
23,9.0,393.0,70.0,69.42857142857143
28,3.0,804.0,100.0,77.7
42,2.0,953.0,100.0,79.4
42,10.0,628.0,70.0,77.57142857142857
21,16.0,450.0,80.0,56.5
32,2.0,1058.0,100.0,85.8
38,3.0,737.0,100.0,70.6
25,3.0,915.0,100.0,81.2
31,9.0,309.0,50.0,58.0
26,3.0,881.0,100.0,72.3
38,3.0,654.0,100.0,81.8
44,3.0,906.0,100.0,68.5
26,15.0,319.0,70.0,58.0
28,14.0,424.0,80.0,77.125
44,9.0,343.0,60.0,66.16666666666667
36,2.0,768.0,100.0,87.2
27,3.0,946.0,100.0,87.4
23,3.0,911.0,100.0,84.0
23,13.0,354.0,50.0,65.4
39,8.0,229.0,30.0,77.0
39,11.0,238.0,70.0,57.71428571428572
19,3.0,803.0,100.0,84.7
18,3.0,861.0,100.0,78.6
30,3.0,900.0,100.0,76.3
38,3.0,730.0,100.0,88.9
41,3.0,859.0,100.0,91.1
30,1.0,23.0,20.0,67.0
40,9.0,319.0,70.0,62.42857142857143
25,2.0,841.0,100.0,67.9
31,16.0,269.0,50.0,56.6
44,3.0,866.0,100.0,70.0
37,18.0,141.0,30.0,70.66666666666667
27,0.0,10.0,10.0,66.0
41,1.0,1007.0,100.0,67.0
34,3.0,708.0,100.0,69.6
35,11.0,445.0,80.0,66.25
37,3.0,682.0,100.0,68.2
40,0.0,10.0,10.0,51.0
32,3.0,745.0,100.0,82.3
22,3.0,854.0,100.0,84.2
30,13.0,123.0,30.0,67.33333333333333
27,3.0,786.0,100.0,68.1
21,3.0,834.0,100.0,84.7
36,3.0,1163.0,100.0,81.3
40,13.0,228.0,50.0,73.8
20,3.0,688.0,100.0,75.6
38,3.0,1016.0,100.0,70.7
42,0.0,5.0,10.0,45.0
44,0.0,6.0,10.0,74.0
37,3.0,1100.0,100.0,72.7
19,0.0,0.0,0.0,0.0
31,1.0,1144.0,100.0,75.8
31,3.0,824.0,100.0,75.0
31,7.0,199.0,20.0,68.5
44,10.0,259.0,40.0,63.0
24,3.0,967.0,100.0,73.6
43,3.0,698.0,100.0,89.5
20,0.0,0.0,0.0,0.0
25,3.0,911.0,100.0,90.1
21,0.0,18.0,10.0,67.0
34,2.0,916.0,100.0,65.5
34,2.0,834.0,100.0,85.4
18,3.0,1168.0,100.0,87.2
35,2.0,1088.0,100.0,69.3
24,3.0,1059.0,100.0,66.5
42,1.0,13.0,20.0,64.5
24,3.0,1096.0,100.0,72.1
40,2.0,1124.0,100.0,75.7
39,2.0,22.0,20.0,65.5
27,2.0,16.0,20.0,63.5
35,8.0,292.0,30.0,58.66666666666666
28,14.0,383.0,50.0,63.4
27,3.0,935.0,100.0,75.6
23,2.0,1077.0,100.0,66.9
35,3.0,876.0,100.0,84.7
24,11.0,303.0,80.0,75.75
31,2.0,1084.0,100.0,67.9
36,2.0,1068.0,100.0,88.4
34,12.0,133.0,30.0,75.33333333333333
44,10.0,101.0,20.0,69.5
35,10.0,330.0,80.0,68.25
21,2.0,1115.0,100.0,89.7
42,3.0,783.0,100.0,64.8
44,2.0,875.0,100.0,69.2
19,3.0,916.0,100.0,71.9
42,3.0,661.0,100.0,74.9
22,2.0,966.0,100.0,77.4
25,2.0,1019.0,100.0,77.8
19,2.0,16.0,20.0,60.5
21,3.0,794.0,100.0,76.8
44,2.0,1086.0,100.0,80.1
18,15.0,284.0,50.0,72.8
38,3.0,922.0,100.0,90.2
19,14.0,542.0,60.0,65.16666666666667
26,15.0,310.0,50.0,71.6
28,13.0,401.0,60.0,69.5
31,13.0,219.0,30.0,65.33333333333333
21,14.0,257.0,50.0,58.0
40,16.0,277.0,60.0,66.33333333333333
25,15.0,122.0,60.0,59.66666666666666
43,16.0,292.0,50.0,64.6
21,0.0,0.0,0.0,0.0
36,7.0,130.0,20.0,82.5
21,2.0,848.0,100.0,91.3
34,0.0,0.0,0.0,0.0
24,0.0,15.0,10.0,46.0
37,9.0,347.0,50.0,72.2
30,2.0,1135.0,100.0,69.5
18,1.0,1119.0,100.0,79.5
30,2.0,806.0,100.0,88.2
29,2.0,1148.0,100.0,89.6
29,9.0,153.0,20.0,80.0
22,11.0,115.0,20.0,77.5
19,2.0,21.0,20.0,72.5
36,2.0,1104.0,100.0,80.9
23,3.0,746.0,100.0,81.9
30,2.0,1068.0,100.0,83.5
24,0.0,0.0,0.0,0.0
30,3.0,850.0,100.0,92.9
28,8.0,182.0,20.0,78.0
25,3.0,991.0,100.0,70.0
41,3.0,993.0,100.0,85.2
33,3.0,954.0,100.0,67.1
32,3.0,1035.0,100.0,68.1
35,12.0,418.0,60.0,57.5
26,11.0,317.0,40.0,66.25
19,3.0,928.0,100.0,85.6
43,2.0,997.0,100.0,69.6
32,3.0,831.0,100.0,71.6
19,3.0,750.0,100.0,89.0
29,11.0,245.0,40.0,58.0
37,3.0,1224.0,100.0,64.2
31,1.0,21.0,20.0,68.5
32,2.0,999.0,100.0,68.0
23,17.0,126.0,30.0,70.66666666666667
21,2.0,1103.0,100.0,81.1
37,3.0,842.0,100.0,75.3
29,2.0,1093.0,100.0,88.9
19,0.0,0.0,0.0,0.0
39,11.0,241.0,40.0,73.25
22,3.0,900.0,100.0,82.8
20,2.0,36.0,20.0,48.0
19,3.0,874.0,100.0,75.7
30,3.0,847.0,100.0,80.8
28,2.0,798.0,100.0,74.1
23,3.0,890.0,100.0,69.9
18,1.0,27.0,20.0,58.5
33,11.0,463.0,70.0,60.0
23,2.0,868.0,100.0,88.9
18,2.0,26.0,20.0,66.5
27,3.0,927.0,100.0,73.5
33,2.0,912.0,100.0,73.1
22,2.0,808.0,100.0,83.4
43,10.0,188.0,40.0,79.5
39,3.0,947.0,100.0,86.2
24,0.0,0.0,0.0,0.0
42,2.0,1065.0,100.0,82.9
36,10.0,243.0,50.0,77.2
18,3.0,770.0,100.0,73.9
21,11.0,337.0,60.0,72.66666666666667
25,1.0,20.0,20.0,64.5
30,2.0,1072.0,100.0,76.8
24,2.0,911.0,100.0,82.7
25,3.0,893.0,100.0,80.6
35,3.0,951.0,100.0,81.5
39,2.0,25.0,20.0,65.5
34,0.0,0.0,0.0,0.0
37,2.0,1009.0,100.0,69.5
30,3.0,943.0,100.0,84.7
31,11.0,421.0,70.0,66.57142857142857
38,0.0,11.0,10.0,66.0
44,2.0,1035.0,100.0,88.1
26,11.0,274.0,40.0,68.0
31,0.0,17.0,10.0,50.0
20,16.0,158.0,30.0,61.0
32,0.0,0.0,0.0,0.0
27,13.0,439.0,70.0,74.71428571428571
19,2.0,855.0,100.0,79.2
32,2.0,21.0,20.0,44.5
27,12.0,264.0,40.0,71.0
37,0.0,0.0,0.0,0.0
22,3.0,1037.0,100.0,70.1
